# GeoNames admin1 code	ISO 3166-2 code, or - when the unit has none	reason
# Reviewed by hand. The generator fails on a unit without a code, on an invalid code and on an unused line.
AI.11205389	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
AI.11205392	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
AI.11205393	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
AI.11205396	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
AI.11205433	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
AI.11205436	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
AI.11205437	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
AI.11205438	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
AI.11205439	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
AI.11205440	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
AI.11205441	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
AI.11205442	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
AI.11205443	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
AI.11205444	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
AO.CBG	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
AO.CUB	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
AO.ICB	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
AO.MLE	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
AR.07	AR-C	Autonomous City of Buenos Aires; the Wikidata item with P300 AR-C has another GeoNames id
AS.010	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
AS.020	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
AS.030	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
AS.040	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
AS.050	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
AX.211	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
AX.212	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
AX.213	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
AZ.30	AZ-LA	Lankaran city; Wikidata merges the city (AZ-LA) and the district (AZ-LAN)
AZ.55	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
AZ.56	-	Shusha city; AZ-SUS belongs to the Shusha district (AZ.55), the city has no code of its own in CLDR 48.2
BM.01	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
BM.02	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
BM.03	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
BM.04	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
BM.05	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
BM.06	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
BM.07	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
BM.08	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
BM.09	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
BM.10	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
BM.11	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
BW.13	BW-FR	City of Francistown (CLDR: Francistown)
CD.04	CD-KE	East Kasai (CLDR: Kasai-Oriental)
CF.19	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
CF.20	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
CF.21	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
CI.93	CI-AB	Abidjan Autonomous District (CLDR: Abidjan)
CK.11695124	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
CK.11695126	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
CK.11695127	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
CK.11695384	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
CK.11695385	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
CK.11695386	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
CK.11695387	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
CK.11695388	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
CK.11695389	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
CK.11695390	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
CK.11695425	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
CO.34	CO-DC	Bogota Capital District (CLDR: Capital District)
CZ.52	CZ-10	Prague (CLDR: Prague, Hlavni mesto)
DZ.EM	DZ-58	El Menia (CLDR: El Meniaa)
DZ.MG	DZ-57	El Mghair (CLDR: El Meghaier)
ET.55	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
ET.56	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
ET.SW	ET-SW	South West Ethiopia Peoples (CLDR: Southwest Ethiopia Peoples)
FO.NO	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
FO.OS	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
FO.SA	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
FO.ST	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
FO.SU	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
FO.VG	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
FR.94	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
GF.GF	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
GG.6417213	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
GG.6417214	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
GG.6417215	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
GG.6417223	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
GG.6417224	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
GG.6417226	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
